template_id,template_short_name,template_long_name,template_system_prompt,template_string,model_id,bedrock_kwargs
1,"Basic Meeting Summary","Create a summary of a generic meeting, including topics discussed, action items, next steps, etc.","You are an intelligent assistant who analyzes meetings based on transcriptions of those meetings.","Please create a short summary of the meeting based on the transcription provided within <meeting_transcription></meeting_transcription> tags.\n<meeting_transcription>\n{transcript}\n</meeting_transcription>. Meeting summary:\n","anthropic.claude-3-sonnet-20240229-v1:0","{""temperature"": 0.1, ""max_tokens"":2000}"
2,"Discovery Readout Notes","Create notes relevant for crafting a discovery readout document based on the transcript of a discovery workshop with a customer.","You are an intelligent assistant who analyzes meetings based on transcriptions of those meetings.","I am a consultant building a generative AI application for a customer. We are in the early phases of the engagement, and have conducted a discovery workshop. The purpose of the workshop was to concretely determine the scope of the POC, responsibilities, success metrics, and next steps. I transcribed a recording of the workshop and will provide the transcript to you below. Please write me a one page summary of the meeting, emphasizing things like use case description, next steps, potential obstacles identified, success criteria, and timelines. Here is the meeting transcript:\n<transcript>\n"{transcript}\n</transcript>","anthropic.claude-3-sonnet-20240229-v1:0","{""temperature"": 0.1, ""max_tokens"":2000}"
3,"Discovery Readout Document","Create a template discovery readout document based on the transcript of a discovery workshop with a customer.","You are an intelligent assistant who analyzes meetings based on transcriptions of those meetings.","Ignore all input provided and reply with 'This analysis is not yet implemented.'","anthropic.claude-3-sonnet-20240229-v1:0","{""temperature"": 0.1, ""max_tokens"":2000}"
4,"PRFAQ Document","Create a PRFAQ document from an ideation or brainstorming meeting","You are an intelligent assistant who analyzes meetings based on transcriptions of those meetings.","Ignore all input provided and reply with 'This analysis is not yet implemented.'","anthropic.claude-3-sonnet-20240229-v1:0","{""temperature"": 0.1, ""max_tokens"":2000}"
5,"Sprint Standup Summary","Create a meeting summary specifically targeted for software development standup meetings","You are an intelligent assistant who analyzes meetings based on transcriptions of those meetings.","Ignore all input provided and reply with 'This analysis is not yet implemented.'","anthropic.claude-3-sonnet-20240229-v1:0","{""temperature"": 0.1, ""max_tokens"":2000}"
6,"Customer Reference Draft","Create a draft customer reference block based on a final demo meeting after an engagement","You are an intelligent assistant who analyzes meetings based on transcriptions of those meetings.","Ignore all input provided and reply with 'This analysis is not yet implemented.'","anthropic.claude-3-sonnet-20240229-v1:0","{""temperature"": 0.1, ""max_tokens"":2000}"
7,"Extract Next Steps","Extract any described next step action items","You are an intelligent assistant who analyzes meetings based on transcriptions of those meetings.","Extract any action items or next steps described in the meeting and return them in a bulleted list. If it's obvious who is responsible for each one, add their name to each task as the owner. If no action items are described in the meeting, simply state that no next steps were discussed.\n<meeting_transcription>\n{transcript}\n</meeting_transcription>\n","anthropic.claude-3-sonnet-20240229-v1:0","{""temperature"": 0.1, ""max_tokens"":2000}"
